"G_Pilot_True",15,118
"G_Pilot_False",11,824
"G_Not_Sure",495,8537
"CP_Pilot_True",36,204
"CP_Pilot_False",17,1511
"CP_Not_Sure",468,7764
"design",26,0.12
"G_Pilot_True",22,122
"G_Pilot_False",19,955
"G_Not_Sure",854,8028
"CP_Pilot_True",49,261
"CP_Pilot_False",28,1637
"CP_Not_Sure",818,7207
"design",30,0.12
"G_Pilot_True",49,143
"G_Pilot_False",16,1072
"G_Not_Sure",1076,7644
"CP_Pilot_True",98,314
"CP_Pilot_False",32,1752
"CP_Not_Sure",1011,6793
"design",34,0.12
"G_Pilot_True",53,151
"G_Pilot_False",21,996
"G_Not_Sure",1105,7674
"CP_Pilot_True",109,323
"CP_Pilot_False",43,1883
"CP_Not_Sure",1027,6615
"design",38,0.12
"G_Pilot_True",90,226
"G_Pilot_False",39,1126
"G_Not_Sure",1296,7223
"CP_Pilot_True",154,400
"CP_Pilot_False",77,2143
"CP_Not_Sure",1194,6032
"design",46,0.12
"G_Pilot_True",18,57
"G_Pilot_False",18,981
"G_Not_Sure",980,7946
"CP_Pilot_True",59,188
"CP_Pilot_False",33,1607
"CP_Not_Sure",924,7189
"design",38,0.16
"G_Pilot_True",32,97
"G_Pilot_False",11,1017
"G_Not_Sure",1075,7768
"CP_Pilot_True",83,268
"CP_Pilot_False",26,1656
"CP_Not_Sure",1009,6958
"design",42,0.16
"G_Pilot_True",59,151
"G_Pilot_False",23,1036
"G_Not_Sure",1253,7478
"CP_Pilot_True",135,338
"CP_Pilot_False",45,1780
"CP_Not_Sure",1155,6547
"design",50,0.16
"G_Pilot_True",72,178
"G_Pilot_False",21,1186
"G_Not_Sure",1315,7228
"CP_Pilot_True",166,420
"CP_Pilot_False",46,1945
"CP_Not_Sure",1196,6227
"design",54,0.16
"G_Pilot_True",119,222
"G_Pilot_False",44,1201
"G_Not_Sure",1446,6968
"CP_Pilot_True",200,435
"CP_Pilot_False",84,2206
"CP_Not_Sure",1325,5750
"design",66,0.16
"G_Pilot_True",14,47
"G_Pilot_False",18,964
"G_Not_Sure",964,7993
"CP_Pilot_True",52,182
"CP_Pilot_False",30,1492
"CP_Not_Sure",914,7330
"design",44,0.2
"G_Pilot_True",15,63
"G_Pilot_False",23,980
"G_Not_Sure",1125,7794
"CP_Pilot_True",72,219
"CP_Pilot_False",32,1521
"CP_Not_Sure",1059,7097
"design",50,0.2
"G_Pilot_True",29,80
"G_Pilot_False",17,1064
"G_Not_Sure",1176,7634
"CP_Pilot_True",102,281
"CP_Pilot_False",35,1722
"CP_Not_Sure",1085,6775
"design",58,0.2
"G_Pilot_True",49,118
"G_Pilot_False",30,1110
"G_Not_Sure",1250,7443
"CP_Pilot_True",139,349
