"CP_Not_Sure",924,6473
"design",30,0.12
"G_Pilot_True",187,336
"G_Pilot_False",7,1265
"G_Not_Sure",1108,7097
"CP_Pilot_True",360,686
"CP_Pilot_False",9,1643
"CP_Not_Sure",933,6369
"design",32,0.12
"G_Pilot_True",344,448
"G_Pilot_False",21,1381
"G_Not_Sure",1228,6578
"CP_Pilot_True",450,614
"CP_Pilot_False",27,1996
"CP_Not_Sure",1116,5797
"design",40,0.12
