"G_Pilot_True",4483,91
"G_Pilot_False",62,43
"G_Not_Sure",4832,489
"CP_Pilot_True",3902,68
"CP_Pilot_False",195,137
"CP_Not_Sure",5280,418
"design",12,0.02
"G_Pilot_True",4534,51
"G_Pilot_False",77,22
"G_Not_Sure",5002,314
"CP_Pilot_True",3858,41
"CP_Pilot_False",266,87
"CP_Not_Sure",5489,259
"design",14,0.02
"G_Pilot_True",6686,21
"G_Pilot_False",58,10
"G_Not_Sure",3148,77
"CP_Pilot_True",4945,5
"CP_Pilot_False",321,36
"CP_Not_Sure",4626,67
"design",16,0.02
"G_Pilot_True",6736,12
"G_Pilot_False",58,12
"G_Not_Sure",3102,80
"CP_Pilot_True",4863,7
"CP_Pilot_False",279,39
"CP_Not_Sure",4754,58
"design",16,0.02
"G_Pilot_True",8086,4
"G_Pilot_False",41,2
"G_Not_Sure",1857,10
"CP_Pilot_True",4931,1
"CP_Pilot_False",407,8
"CP_Not_Sure",4646,7
"design",20,0.02
"G_Pilot_True",1469,288
"G_Pilot_False",47,130
"G_Not_Sure",5102,2964
"CP_Pilot_True",1901,421
"CP_Pilot_False",59,236
"CP_Not_Sure",4658,2725
"design",12,0.04
"G_Pilot_True",1487,248
"G_Pilot_False",80,106
"G_Not_Sure",5745,2334
"CP_Pilot_True",1849,291
"CP_Pilot_False",112,243
"CP_Not_Sure",5351,2154
"design",14,0.04
"G_Pilot_True",2859,161
"G_Pilot_False",57,80
"G_Not_Sure",5707,1136
"CP_Pilot_True",3222,195
"CP_Pilot_False",119,150
"CP_Not_Sure",5282,1032
"design",16,0.04
"G_Pilot_True",2905,153
"G_Pilot_False",63,75
"G_Not_Sure",5674,1130
"CP_Pilot_True",3263,183
"CP_Pilot_False",122,159
"CP_Not_Sure",5257,1016
"design",16,0.04
"G_Pilot_True",4319,92
"G_Pilot_False",64,40
"G_Not_Sure",5023,462
"CP_Pilot_True",4165,78
"CP_Pilot_False",169,105
"CP_Not_Sure",5072,411
"design",20,0.04
"G_Pilot_True",516,330
"G_Pilot_False",32,226
"G_Not_Sure",3467,5429
"CP_Pilot_True",876,594
