"CP_Pilot_False",53,435
"CP_Not_Sure",3828,3949
"design",30,0.12
"G_Pilot_True",846,262
"G_Pilot_False",37,304
"G_Not_Sure",4583,3968
"CP_Pilot_True",1582,576
"CP_Pilot_False",51,434
"CP_Not_Sure",3833,3524
"design",32,0.12
"G_Pilot_True",1656,314
"G_Pilot_False",66,243
"G_Not_Sure",4797,2924
"CP_Pilot_True",2204,460
"CP_Pilot_False",104,429
"CP_Not_Sure",4211,2592
"design",40,0.12
