"G_Not_Sure",3521,5390
"CP_Pilot_True",1577,1261
"CP_Pilot_False",1008,3402
"CP_Not_Sure",1258,1494
"design",122,0.32
"G_Pilot_True",295,187
"G_Pilot_False",88,598
"G_Not_Sure",3650,5182
"CP_Pilot_True",1553,1178
"CP_Pilot_False",1156,3415
"CP_Not_Sure",1324,1374
"design",132,0.32
"G_Pilot_True",800,331
"G_Pilot_False",109,616
"G_Not_Sure",3892,4252
"CP_Pilot_True",1699,774
"CP_Pilot_False",1633,3291
"CP_Not_Sure",1469,1134
"design",162,0.32
"G_Pilot_True",20,16
"G_Pilot_False",49,612
"G_Not_Sure",2827,6476
"CP_Pilot_True",1309,1968
"CP_Pilot_False",626,3147
"CP_Not_Sure",961,1989
"design",92,0.36
"G_Pilot_True",35,40
"G_Pilot_False",50,672
"G_Not_Sure",3023,6180
"CP_Pilot_True",1411,1781
"CP_Pilot_False",690,3249
"CP_Not_Sure",1007,1862
"design",102,0.36
"G_Pilot_True",117,104
"G_Pilot_False",59,637
"G_Not_Sure",3316,5767
"CP_Pilot_True",1497,1440
"CP_Pilot_False",875,3335
"CP_Not_Sure",1120,1733
"design",122,0.36
"G_Pilot_True",153,120
"G_Pilot_False",69,603
"G_Not_Sure",3615,5440
"CP_Pilot_True",1618,1330
"CP_Pilot_False",996,3286
"CP_Not_Sure",1223,1547
"design",132,0.36
"G_Pilot_True",497,258
"G_Pilot_False",85,622
"G_Not_Sure",3799,4739
"CP_Pilot_True",1693,915
"CP_Pilot_False",1322,3436
"CP_Not_Sure",1366,1268
"design",162,0.36
"G_Pilot_True",6,11
"G_Pilot_False",50,627
"G_Not_Sure",2594,6712
"CP_Pilot_True",1205,2150
"CP_Pilot_False",527,3075
"CP_Not_Sure",918,2125
"design",92,0.4
"G_Pilot_True",18,18
"G_Pilot_False",46,665
"G_Not_Sure",2860,6393
"CP_Pilot_True",1343,1948
"CP_Pilot_False",600,3158
"CP_Not_Sure",981,1970
"design",102,0.4
"G_Pilot_True",41,47
"G_Pilot_False",46,646
"G_Not_Sure",3126,6094
